site,direction,meter_start,meter_end,profilometer_width_cm,pin_profile_length_cm,max_pin_height_cm,min_pin_height_cm,notes
BR-05,T1,19,20,96.91,106.991,24.678,20.483,
BR-05,T1,24,25,93.254,104.378,24.97,21.711,
BR-05,T1,29,30,94.648,109.363,22.104,18.697,
BR-05,T2,9,10,100.295,108.444,24.546,18.539,
BR-05,T2,14,15,98.804,119.398,24.929,18.714,
BR-05,T2,19,20,98.762,105.222,24.069,21.741,
BR-05,T2,24,25,100.776,121.653,27.838,19.913,
BR-05,T2,29,30,106.794,94.918,22.925,16.91,
BR-05,T3,9,10,102.613,106.127,27.072,21.803,
BR-05,T3,14,15,101.783,122.946,25.444,16.394,
BR-05,T3,19,20,99.615,113.861,25.596,16.492,
BR-05,T3,24,25,95.186,104.987,23.33,19.19,
BR-05,T3,29,30,98.204,109.202,24.739,18.682,
HACR-01,T1,9,10,91.804,108.425,26.01,14.761,
HACR-01,T1,14,15,94.933,118.772,25.273,17.806,
HACR-01,T1,19,20,94.227,101.605,25.155,20.417,
HACR-01,T1,24,25,91.02,102.156,24.154,17.761,
HACR-01,T1,29,30,91.429,104.74,28.036,19.022,
HACR-01,T2,9,10,86.353,109.749,28.363,14.285,
HACR-01,T2,14,15,93.101,103.479,27.138,20.999,
HACR-01,T2,19,20,89.063,102.358,24.584,17.243,No ruler
HACR-01,T2,24,25,90.776,114.866,26.856,17.765,
HACR-01,T2,29,30,93.388,109.802,26.664,16.998,
HACR-01,T3,9,10,91.482,107.703,27.106,18.916,
HACR-01,T3,14,15,92.91,110.977,25.623,18.038,
HACR-01,T3,19,20,91.933,118.003,23.451,16.05,
HACR-01,T3,24,25,94.234,118.519,27.696,20.914,
HACR-01,T3,29,30,90.031,104.022,24.002,18.772,
TNC-01,T1,9,10,95.371,116.993,26.356,17.978,
TNC-01,T1,14,15,95.221,109.947,26.998,22.754,
TNC-01,T1,19,20,95.59,123.681,30.211,19.642,
TNC-01,T1,24,25,91.509,116.456,24.147,6.248,
TNC-01,T1,29,30,90.266,126.116,24.948,16.965,
TNC-01,T2,9,10,91.6,97.984,22.614,18.573,
TNC-01,T2,14,15,92.03,102.09,28.618,19.61,
TNC-01,T2,19,20,90.377,103.357,25.016,21.632,
TNC-01,T2,24,25,93.702,111.571,26.715,20.41,
TNC-01,T2,29,30,87.652,105.175,23.356,19.575,
TNC-01,T3,9,10,92.6,104.04,28.463,21.68,
TNC-01,T3,14,15,91.218,106.718,26.431,19.725,
TNC-01,T3,19,20,91.236,120.098,26.509,15.664,
TNC-01,T3,24,25,92.402,110.212,26.694,19.984,
TNC-01,T3,29,30,95.237,118.128,26.87,19.967,
TNC-02,T1,9,10,89.745,147.73,24.401,6.373,
TNC-02,T1,14,15,90.139,118.1,32.97,22.133,
TNC-02,T1,19,20,94.613,115.374,31.443,19.985,
TNC-02,T1,24,25,90.874,107.573,26.478,18.058,
TNC-02,T1,29,30,93.663,113.41,23.261,16.557,
TNC-02,T2,9,10,91.257,107.183,26.057,17.796,
TNC-02,T2,14,15,87.866,134.135,25.772,11.777,
